IdExecMin,StrategyExec,App,AppFramework,AppTpFramework,DeviceConfig,SuiteTestCaseName,QttEventsMapping,Successful,TotalTime,QttExec,QttEventsExec,QttEventsExecSuccessful,QttEventsExecUnSuccessful,PercentageEventSuccessful,TotalTimeEventsSuccessful
1798,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,17903.171875,1,4,3,1,60,14288.9375
1799,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
1800,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,1655.09375,1,2,1,1,20,492.328125
1803,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,2648.7578125,1,2,1,1,20,1518.0078125
1806,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
1809,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,1478.9921875,1,2,1,1,20,344.234375
1812,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,1,40008.671875,1,5,5,0,100,34563.0390625
1815,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,1497,1,2,1,1,20,340.2265625
1818,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,16150.734375,1,4,3,1,60,12880.5625
1821,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
1824,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,1367.3515625,1,2,1,1,20,251.2265625
1827,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,2979.3984375,1,2,1,1,20,1871.2578125
1830,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,1,38969.828125,1,5,5,0,100,33420.171875
1833,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,1521.0078125,1,2,1,1,20,409.265625
1836,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,1,38862.765625,1,5,5,0,100,33399.15625
1839,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,1386.921875,1,2,1,1,20,285.1875
1842,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,1,38958.8359375,1,5,4,0,80,13524.96875
1845,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,1,38446.5,1,5,0,0,0,0
1848,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,50526.78125,1,5,5,0,100,40361.8203125
1851,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,387530,1,5,5,0,100,377559.9453125
1854,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,45145.765625,1,5,5,0,100,34925.171875
1857,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,46428.484375,1,5,4,0,80,22604.5546875
1860,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,46510.5546875,1,5,5,0,100,36256.6875
1863,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,46399.6171875,1,5,4,0,80,22719.359375
1866,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,46452.7578125,1,5,4,0,80,22553.7421875
1869,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,47883.34375,1,5,3,0,60,9365.8671875
1872,CombinedExpressionsInOrder,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,1764.2734375,1,2,1,1,20,437.3125
1873,CombinedExpressionsMultiLocator,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,3095.8125,1,2,1,1,20,1747.2265625
1874,IndividualExpressionAbsolutePath,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,0,1,1,0,1,0,0
1875,IndividualExpressionAncestorAttributes,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,1774.3359375,1,2,1,1,20,429.3203125
1876,IndividualExpressionAncestorIndex,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,1,22260.515625,1,5,5,0,100,16323.2265625
1877,IndividualExpressionCrossPlatform,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,1762.1015625,1,2,1,1,20,430.4921875
1878,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,1,21074.53125,1,5,5,0,100,15176.375
1879,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F3,5,0,0,1,1,0,1,0,0
